email_body,label
"Subject: Tax Refund

Your account will be suspended within 24 hours. Update your details: http://claim-prize-now.com/3751.",1
"Subject: Training Session

Lunch is scheduled for 1 PM today in the cafeteria.",0
"Subject: Project Update

Please find the attached invoice for this month's services.",0
"Subject: Package Delivery Failed

Your account will be suspended within 24 hours. Update your details: http://paypal-check.com/2087.",1
"Subject: Bank Account Locked

Your account will be suspended within 24 hours. Update your details: http://paypal-check.com/8406.",1
"Subject: Package Delivery Failed

Claim your tax refund by completing verification: http://account-confirm.org/3933.",1
"Subject: Urgent Account Verification

Unusual login detected. Secure your account here: http://secure-login-update.com/6189.",1
"Subject: Urgent Account Verification

Your account will be suspended within 24 hours. Update your details: http://claim-prize-now.com/1242.",1
"Subject: Microsoft Security

Congratulations! You won a reward. Claim it today: http://paypal-check.com/2466.",1
"Subject: Urgent Account Verification

Unusual login detected. Secure your account here: http://claim-prize-now.com/1684.",1
"Subject: PayPal Verification

Congratulations! You won a reward. Claim it today: http://bank-security-alert.com/3729.",1
"Subject: Package Delivery Failed

Your payment failed. Update your billing details: http://secure-login-update.com/9560.",1
"Subject: Lottery Winner

Congratulations! You won a reward. Claim it today: http://delivery-update.net/9084.",1
"Subject: Password Expiration

Claim your tax refund by completing verification: http://delivery-update.net/7007.",1
"Subject: Weekly Status

Hi Team, Our weekly meeting is tomorrow at 10 AM. Please bring your updates.",0
"Subject: Project Update

Hi Team, Our weekly meeting is tomorrow at 10 AM. Please bring your updates.",0
"Subject: Invoice Overdue

Unusual login detected. Secure your account here: http://secure-login-update.com/2132.",1
"Subject: Holiday Notice

Hi Team, Our weekly meeting is tomorrow at 10 AM. Please bring your updates.",0
"Subject: Bank Account Locked

Your package could not be delivered. Confirm your address here: http://account-confirm.org/7808.",1
"Subject: Bank Account Locked

Reset your password now to avoid losing access: http://delivery-update.net/7335.",1
"Subject: Tax Refund

Your payment failed. Update your billing details: http://verify-account-now.com/5225.",1
"Subject: Project Update

Please submit your weekly status report by Friday evening.",0
"Subject: Urgent Account Verification

Reset your password now to avoid losing access: http://verify-account-now.com/3302.",1
"Subject: Urgent Account Verification

Congratulations! You won a reward. Claim it today: http://account-confirm.org/5918.",1
"Subject: Monthly Report

Your Amazon order has been shipped and will arrive tomorrow.",0
"Subject: PayPal Verification

Dear Customer, We detected suspicious activity on your account. Verify immediately at http://claim-prize-now.com/9901.",1
"Subject: Monthly Report

Hi Team, Our weekly meeting is tomorrow at 10 AM. Please bring your updates.",0
"Subject: PayPal Verification

Your account will be suspended within 24 hours. Update your details: http://account-confirm.org/6349.",1
"Subject: Training Session

Lunch is scheduled for 1 PM today in the cafeteria.",0
"Subject: Microsoft Security

Claim your tax refund by completing verification: http://verify-account-now.com/1836.",1
"Subject: Invoice Overdue

Congratulations! You won a reward. Claim it today: http://office365-security.com/2156.",1
"Subject: Package Delivery Failed

Congratulations! You won a reward. Claim it today: http://verify-account-now.com/5612.",1
"Subject: Weekly Status

Please submit your weekly status report by Friday evening.",0
"Subject: Holiday Notice

Thank you for attending today's meeting. Minutes are attached.",0
"Subject: Microsoft Security

Reset your password now to avoid losing access: http://paypal-check.com/6422.",1
"Subject: Order Confirmation

Please submit your weekly status report by Friday evening.",0
"Subject: Monthly Report

Lunch is scheduled for 1 PM today in the cafeteria.",0
"Subject: Holiday Notice

Your Amazon order has been shipped and will arrive tomorrow.",0
"Subject: Order Confirmation

Hi Team, Our weekly meeting is tomorrow at 10 AM. Please bring your updates.",0
"Subject: Security Alert

Claim your tax refund by completing verification: http://delivery-update.net/1408.",1
"Subject: Holiday Notice

Hi Team, Our weekly meeting is tomorrow at 10 AM. Please bring your updates.",0
"Subject: Training Session

Your Amazon order has been shipped and will arrive tomorrow.",0
"Subject: PayPal Verification

Reset your password now to avoid losing access: http://delivery-update.net/6704.",1
"Subject: Urgent Account Verification

Your package could not be delivered. Confirm your address here: http://secure-login-update.com/3234.",1
"Subject: Urgent Account Verification

Unusual login detected. Secure your account here: http://delivery-update.net/9970.",1
"Subject: Leave Approved

Your Amazon order has been shipped and will arrive tomorrow.",0
"Subject: Weekly Status

Thank you for attending today's meeting. Minutes are attached.",0
"Subject: Invoice Attached

Lunch is scheduled for 1 PM today in the cafeteria.",0
"Subject: Holiday Notice

Your leave request has been approved. Enjoy your vacation.",0
"Subject: Order Confirmation

The presentation slides have been uploaded to the shared drive.",0
"Subject: Order Confirmation

The presentation slides have been uploaded to the shared drive.",0
"Subject: Holiday Notice

Your leave request has been approved. Enjoy your vacation.",0
"Subject: Bank Account Locked

Your package could not be delivered. Confirm your address here: http://delivery-update.net/8688.",1
